DATAFLOW,MEASURE,VALUE,SECTOR,WORK_TYPE,BUILDING_TYPE,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2013-03,2824,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2013-04,2461,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2013-05,2872,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2013-06,2741,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2013-07,2924,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2013-08,3155,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2013-09,3447,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2013-10,3774,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2013-11,4034,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2013-12,3258,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2014-01,2880,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2014-02,2906,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,TOT,TOT,10,3,M,2014-03,2858,NUM,0,,
